Date Time,Day of Week,Street Name Cleaned,Cross Street Cleaned,Intersection_ID,Latitude,Longitude,Manner of Collision,First Harmful Event,Weather Condition 1,Weather Condition 2,Ambient Light,Road Surface Condition,Traffic Control Device Type,Traffic Control Device Functionality,Roadway Junction Type,Trafficway Description,Speed Limit,Object 1,Object 2,P1 Injury,P2 Injury,P1 Age,P2 Age,P1 Sex,P2 Sex,May involve cyclist,May Involve Pedestrian,P1 Non Motorist Desc,P2 Non Motorist Desc,Year,Month,Day,Hour,Day_of_Week_Num,Is_Weekend,Is_Rush_Hour,Season
2025-05-14 20:56:00,Wednesday,DUNSTER STREET,,DUNSTER STREET,42.37285,-71.11902,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DARK - LIGHTED ROADWAY                            ,DRY                                               ,NO CONTROLS                                       ,YES                                               ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",20 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,5,14,20,2,False,False,Spring
2025-05-13 07:00:00,Tuesday,MASSACHUSETTS AVENUE,CHURCH STREET,CHURCH STREET_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,T-INTERSECTION                                    ,"ONE-WAY, NOT DIVIDED                              ",20 ,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)              ",,NO APPARENT INJURY                                ,,,,MALE                                              ,,1.0,,MOTORIZED BICYCLIST                               ,,2025,5,13,7,1,False,True,Spring
2025-05-05 08:59:00,Monday,ALEWIFE BROOK PARKWAY,,ALEWIFE BROOK PARKWAY,42.39023,-71.14199,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,RAIN                                              ,,DAYLIGHT                                          ,WET                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,DRIVEWAY                                          ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,5,5,8,0,False,True,Spring
2025-04-25 16:40:00,Friday,VASSAR ST,MASSACHUSETTS AVENUE,MASSACHUSETTS AVENUE_AND_VASSAR ST,42.358598,-71.096431,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,FEMALE                                            ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,4,25,16,4,False,True,Spring
2025-04-23 17:43:00,Wednesday,PROSPECT STREET,,PROSPECT STREET,42.36621,-71.10329,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",20 ,PASSENGER CAR                                     ,,,SUSPECTED MINOR INJURY                            ,,,FEMALE                                            ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,4,23,17,2,False,True,Spring
2025-04-09 18:21:00,Wednesday,MASSACHUSETTS AVENUE,AMHERST,AMHERST_AND_MASSACHUSETTS AVENUE,42.369333,-71.11075,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,4,9,18,2,False,True,Spring
2025-04-09 17:01:00,Wednesday,MT. AUBURN STREET,,MT. AUBURN STREET,42.37436,-71.13429,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,DRIVEWAY                                          ,"TWO-WAY, NOT DIVIDED                              ",25 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,NO APPARENT INJURY                                ,POSSIBLE INJURY                                   ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,4,9,17,2,False,True,Spring
2025-04-09 08:52:00,Wednesday,AMES ST,,AMES ST,42.3633,-71.08794,SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",25 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,4,9,8,2,False,True,Spring
2025-04-05 18:30:00,Saturday,MASS. AVENUE,,MASS. AVENUE,42.38244,-71.11964,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,RAIN                                              ,CLOUDY                                            ,DAYLIGHT                                          ,WET                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",25 ,PASSENGER CAR                                     ,,,UNKNOWN                                           ,,,,FEMALE                                            ,1.0,,,,2025,4,5,18,5,True,True,Spring
2025-04-02 20:20:00,Wednesday,WATER,,WATER,42.3732,-71.07835,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DARK - LIGHTED ROADWAY                            ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,4,2,20,2,False,False,Spring
2025-03-26 19:07:00,Wednesday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.37417,-71.11884,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DUSK                                              ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NOT APPLICABLE                                    ,NOT APPLICABLE                                    ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,3,26,19,2,False,False,Spring
2025-03-26 13:34:00,Wednesday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.3656,-71.10235,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",20 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,POSSIBLE INJURY                                   ,,,FEMALE                                            ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,3,26,13,2,False,False,Spring
2025-03-25 22:11:00,Tuesday,GARDEN STREET,,GARDEN STREET,42.37592,-71.12091,SINGLE VEHICLE CRASH                              ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DARK - LIGHTED ROADWAY                            ,DRY                                               ,PEDESTRIAN CROSSING SIGNAL/BEACON                 ,NO                                                ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,TRICYCLIST                                        ,2025,3,25,22,1,False,False,Spring
2025-03-21 20:12:00,Friday,MT AUBURN ST,,MT AUBURN ST,42.37497,-71.13482,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DARK - LIGHTED ROADWAY                            ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,NO APPARENT INJURY                                ,,,FEMALE                                            ,MALE                                              ,1.0,,,,2025,3,21,20,4,False,False,Spring
2025-03-19 17:50:00,Wednesday,HAMPSHIRE STREET,,HAMPSHIRE STREET,42.37332,-71.10034,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NOT APPLICABLE                                    ,POSSIBLE INJURY                                   ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,3,19,17,2,False,True,Spring
2025-03-18 18:10:00,Tuesday,BINNEY STREET,SECOND STREET,BINNEY STREET_AND_SECOND STREET,42.36507624884,-71.0796976089,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,UNKNOWN                                           ,CLEAR                                             ,DAYLIGHT                                          ,OTHER                                             ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,SUSPECTED MINOR INJURY                            ,,,,MALE                                              ,MALE                                              ,1.0,,BICYCLIST                                         ,,2025,3,18,18,1,False,True,Spring
2025-03-10 09:30:00,Monday,CONCORD AVENUE,,CONCORD AVENUE,42.38765,-71.14249,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,NO                                                ,NOT AT INTERSECTION                               ,"ONE-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,FEMALE                                            ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,3,10,9,0,False,True,Spring
2025-03-09 00:10:00,Sunday,OXFORD STREET,SACRAMENTO ST,OXFORD STREET_AND_SACRAMENTO ST,42.38136,-71.11605,REAR-END                                          ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DARK - LIGHTED ROADWAY                            ,DRY                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,MOTORIZED BICYCLIST                               ,2025,3,9,0,6,True,False,Spring
2025-02-01 05:20:00,Saturday,VASSAR STREET,MASSACHUSETTS AVENUE,MASSACHUSETTS AVENUE_AND_VASSAR STREET,42.358598,-71.096431,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,"SLEET, HAIL, FREEZING RAIN OR DRIZZLE             ",,DARK - LIGHTED ROADWAY                            ,WET                                               ,TRAFFIC CONTROL SIGNAL                            ,YES                                               ,FOUR WAY INTERSECTION                             ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",25 ,,,SUSPECTED MINOR INJURY                            ,POSSIBLE INJURY                                   ,,,MALE                                              ,MALE                                              ,1.0,,BICYCLIST                                         ,,2025,2,1,5,5,True,False,Winter
2025-01-16 17:10:00,Thursday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.39047,-71.1213,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,UNKNOWN                                           ,,UNKNOWN                                           ,UNKNOWN                                           ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,SUSPECTED MINOR INJURY                            ,,,,MALE                                              ,,1.0,,BICYCLIST                                         ,,2025,1,16,17,3,False,True,Winter
2025-01-06 12:20:00,Monday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.36774,-71.10755,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLOUDY                                            ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,,BICYCLIST                                         ,2025,1,6,12,0,False,False,Winter
2025-01-04 13:40:00,Saturday,WHITE STREET,,WHITE STREET,42.38972,-71.11813,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,FEMALE                                            ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2025,1,4,13,5,True,False,Winter
2025-01-01 14:00:00,Wednesday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.37544081818183,-71.11253827272726,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLOUDY                                            ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",20 ,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,POSSIBLE INJURY                                   ,,,,MALE                                              ,,1.0,,BICYCLIST                                         ,,2025,1,1,14,2,False,False,Winter
2024-12-06 08:10:00,Friday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.39888,-71.13203,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2024,12,6,8,4,False,True,Winter
2024-12-04 19:34:00,Wednesday,MASSACHUSETTS AVENUE,,MASSACHUSETTS AVENUE,42.36089,-71.09607,REAR-END                                          ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DUSK                                              ,DRY                                               ,NO CONTROLS                                       ,YES                                               ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,,,POSSIBLE INJURY                                   ,NO APPARENT INJURY                                ,,,MALE                                              ,MALE                                              ,1.0,,BICYCLIST                                         ,BICYCLIST                                         ,2024,12,4,19,2,False,False,Winter
2024-11-22 13:44:00,Friday,BROADWAY,,BROADWAY,42.36989,-71.10246,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLOUDY                                            ,,DAYLIGHT                                          ,WET                                               ,NO CONTROLS                                       ,,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NOT APPLICABLE                                    ,NOT APPLICABLE                                    ,,,MALE                                              ,MALE                                              ,1.0,,,,2024,11,22,13,4,False,False,Fall
2024-11-20 08:30:00,Wednesday,HURON AVE,,HURON AVE,42.38121,-71.13857,"SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,CLEAR                                             ,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,NO                                                ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,NO APPARENT INJURY                                ,,,MALE                                              ,FEMALE                                            ,1.0,,,,2024,11,20,8,2,False,True,Fall
2024-11-20 08:02:00,Wednesday,MAIN STREET,,MAIN STREET,42.36251,-71.08726,ANGLE                                             ,COLLISION WITH PEDALCYCLE                         ,CLEAR                                             ,,DAYLIGHT                                          ,DRY                                               ,NO CONTROLS                                       ,,DRIVEWAY                                          ,"TWO-WAY, NOT DIVIDED                              ",25 ,PASSENGER CAR                                     ,,NO APPARENT INJURY                                ,SUSPECTED MINOR INJURY                            ,,,MALE                                              ,FEMALE                                            ,1.0,,,BICYCLIST                                         ,2024,11,20,8,2,False,True,Fall
